November 2, 2019 All Souls

Psalm of the Day

Refrain Text	Choices
On Eagle’s Wings/En Sus Alas	 	BB-MI 436, G3 691, GC 611, GC2 593, GP 598, GP3 606, JS 704, JS3 671, LMGM2 585, OC 578, OIF 789, PMB 453, RS 740, RS2 795, S&S 333, SS 850, W4 690, WC 887, WS 721
Only in God	 	BB-MI 433, CBW 701, GC 621, GC2 591, GP 600, GP 610, GP3 611, GP3 618, JS 712, JS3 679
Precious Lord, Take My Hand/Oh Señor, Guíame	 	BB-MI 688, CP3 359, G3 955, GC 874, GC2 847, GP 478, GP3 424, H 363, JS 572, JS3 548, LMGM 162, LMGM2 780, OC 789, OIF 788, PMB 448, RS 754, RS2 826, W4 980, WC 886, WS 712
Pues Sí Vivimos/If We Are Living/When We Are Living	 	FYC3 672, G3 756, GC 666, GC2 650, OC 612, OIF 730, PMB 408, RS 727, RS2 798, SS 886, W4 754, WC 838, WS 681
Remember Those, O Lord	 	CBW 641
Rest in Peace	 	CBW 643
Restless Is the Heart	 	BB-MI 683, GP 483, JS 645
Rise Up with Him	 	BB-MI 565, SS2 322
Shall We Gather at the River/¿Nos Veremos Junto al Río?	 	BB-MI 610, G3 873, GC 774, GC2 761, JS 786, JS3 756, LMGM 103, LMGM2 716, OC 708, OIF 737, PMB 422, RS2 960, W4 866, WC 841, WS 684
Shepherd of My Heart	 	G3 723, GC 641, GC2 624, SS 864
Sing with All the Saints in Glory/Canten con Gloriosos Fieles	 	BB-MI 611, CBW 406, G3 539, GC 442, GC2 442, GP 724, JS 789, LMGM2 317, OC 443, OIF 881, PMB 510, RS 595, RS2 609, SS 972, W3 467, W4 526, WC 975, WS 789
Song of Farewell (Haas)	 	RS2 216
Song of Farewell (Janco)	 	G3 163, RS2 215
Song of Farewell (Joncas)	 	G3 974, GC 864, GC2 867, RS 935, RS2 1085
Song of Farewell (Proulx)	 	RS2 217
Song of Farewell (Sands)	 	BB-MI 682
Song of Farewell (various)	 	GP 494, JS 580
Song of Farewell (Wittry)	 	OIF 602, WC 728
Song of Farewell/Cántico de Despedida (OLD HUNDRETH)	 	BB-MI 826, OC 796, OIF 333, WC 220, WS 30
Song of Simeon	 	GP3 211, JS3 124, S&S 115
Songs of the Angels	 	GP 496
Steal Away to Jesus	 	G3 868, GC 773, GC2 766, JS 787, LMGM 319, LMGM2 701, RS2 959
Swing Low, Sweet Chariot	 	LMGM 147, LMGM2 704
The King of Love My Shepherd Is/El Rey de Amor Es Mi Pastor	 	BB-MI 467, G3 712, GC 635, GC2 631, GP2 632, GP3 648, H 444, JS2 733, JS3 690, LMGM2 601, OC 592, OFUV 724, OIF 749, PMB 427, UC 684, RS 766, RS2 820, SS 861, W3 609, W4 712, WC 852, WS 700
The Living God My Shepherd Is	 	CBW 690, W3 612, W4 709
The Lord Is My Hope	 	BB-MI 468, GC 613, GP 631, H 454, JS 730
The Lord, the Lord, the Lord Is My Shepherd	 	W3 613
The People of God	 	GC 653
The Strife Is O’er/La Ruda Lucha Terminó	 	BB-MI 563, CBW 395, G3 525, GC 446, GC2 459, GP 384, GP3 336, JS 431, 408, LMGM 64, LMGM2 308, OC 440, OIF 452, PMB 257, RS 587, RS2 617, SS 748, W3 451, W4 511, WC 592, WS 506
There Is a Balm in Gilead/Bálsamo de Amor Hay en Galaad	 	BB-MI 455, G3 640, GC2 617, GP 634, GP3 654, JS 723, JS3 688, LMGM 157, LMGM2 502, OC 552, OIF 588, PMB 331, RS 764, RS2 831, SS 866, W3 608, W4 646, WC 714, WS 596
There Is One Thing I Ask	 	GP 489
