 B | BaptismLord | Down Galilee’s Slow Roadways
 B | BaptismLord | Everyone Moved by the Spirit
 B | BaptismLord | Glorious Things of You Are Spoken
 B | BaptismLord | God Sends Us His Spirit
 B | BaptismLord | God, Who at the Font Once Named Us
 B | BaptismLord | Hail to the Lord's Anointed
 B | BaptismLord | Healing River
 B | BaptismLord | Healing River of the Spirit
 B | BaptismLord | Here Am I
 B | BaptismLord | Here Is My Servant
 B | BaptismLord | I've Just Come from the Fountain
 B | BaptismLord | Jesus at the Jordan Baptized
 B | BaptismLord | Joy to the World
 B | BaptismLord | Now in This Banquet
 B | BaptismLord | O Christ, the Great Foundation
 B | BaptismLord | O God of Love, O King of Peace
 B | BaptismLord | Praise the One Who Breaks the Darkness
 B | BaptismLord | Praise to You, O Christ Our Savior
 B | BaptismLord | Priestly People
 B | BaptismLord | Send Down the Fire
 B | BaptismLord | Song of the Holy Spirit
 B | BaptismLord | Song over the Waters
 B | BaptismLord | Songs of Thankfulness and Praise
 B | BaptismLord | Surely It Is God Who Saves Me
 B | BaptismLord | Sweet Refreshment
 B | BaptismLord | Take and Eat This Bread
 B | BaptismLord | The Church of Christ in Every Age 
 B | BaptismLord | The Church's One Foundation
 B | BaptismLord | The Spirit of God
 B | BaptismLord | The Voice of God
 B | BaptismLord | There Is One Lord
 B | BaptismLord | To Jordan Jesus Humbly Came
 B | BaptismLord | Wade in the Water
 B | BaptismLord | Waters of Love
 B | BaptismLord | When Jesus Came to Jordan
 B | BaptismLord | When Jesus Comes to Be Baptized
 B | BaptismLord | When John Baptized by Jordan's River
 B | BaptismLord | Wonderful and Great
 B | BaptismLord | You Are the Voice
 B | BaptismLord | You Have Anointed Me
 B | BodyBlood | Alleluia! Sing to Jesus
 B | BodyBlood | Amén. El Cuerpo de Cristo
 B | BodyBlood | As He Gathered at His Table
 B | BodyBlood | As We Remember
 B | BodyBlood | At the Lamb's High Feast
 B | BodyBlood | Bless the Feast
 B | BodyBlood | Bread for the World
 B | BodyBlood | Bread of Heaven
 B | BodyBlood | Bread of Life from Heaven/Pan de Vida Eterna
 B | BodyBlood | By Gracious Powers
 B | BodyBlood | Come and Eat This Bread
 B | BodyBlood | Come to the Banquet
 B | BodyBlood | Do This in Remembrance of Me
 B | BodyBlood | Draw Near and Take the Body of Your Lord
 B | BodyBlood | Eat This Bread
 B | BodyBlood | Fill My Cup, Lord
 B | BodyBlood | Gift of Finest Wheat
 B | BodyBlood | Give Thanks and Remember
 B | BodyBlood | Halleluya! We Sing Your Praises
 B | BodyBlood | I Am the Bread of Life/Yo Soy el Pan de Vida
 B | BodyBlood | I've Just Come from the Fountain
 B | BodyBlood | Jesus, Lamb of God
